usa,china
0,1
0,1
1,1
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
2,3
3,3
3,3
3,3
4,3
4,3
4,3
4,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
5,5
5,5
5,5
5,5
5,5
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,8
5,8
5,8
5,8
5,8
6,8
6,8
6,8
7,8
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,10
8,11
8,11
8,11
8,11
8,11
8,11
8,11
9,11
9,11
9,11
10,11
11,11
11,11
11,11
11,11
11,11
11,12
11,13
11,13
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
12,14
12,14
12,15
12,15
13,15
13,15
13,15
13,15
13,16
14,16
14,16
14,16
14,16
14,16
14,17
14,17
14,17
15,17
15,17
15,17
15,17
15,17
15,17
15,17
15,17
15,18
16,18
17,18
17,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
19,18
19,18
20,18
20,18
21,18
21,18
21,18
21,18
21,18
21,18
21,18
21,18
22,18
22,18
22,18
23,18
23,18
23,18
23,18
23,18
23,18
23,18
23,18
23,18
23,19
23,19
23,19
23,19
23,19
23,19
23,20
23,20
23,20
23,20
24,20
25,20
25,20
25,20
26,20
26,21
26,21
26,21
26,21
26,21
26,21
26,21
26,21
27,21
27,22
27,22
27,22
27,22
27,22
27,22
27,22
27,22
27,23
27,23
27,23
28,23
28,23
28,23
28,23
29,23
29,23
29,23
29,23
29,23
29,23
29,24
30,24
30,24
30,24
30,25
31,25
31,25
32,25
32,25
33,25
34,25
34,25
34,25
34,25
34,25
34,25
34,25
34,25
34,25
34,25
34,25
35,25
36,25
36,25
36,25
36,25
37,25
37,25
37,25
37,25
37,25
37,26
37,26
37,26
37,26
37,26
37,26
37,27
37,27
37,27
37,27
37,27
37,27
37,27
37,27
37,27
37,27
37,28
37,28
37,28
37,29
37,29
37,29
37,29
37,29
37,29
37,29
38,29
38,29
38,29
38,29
38,29
39,29
39,29
39,30
39,30
39,31
39,32
39,32
39,32
40,32
40,32
40,32
40,32
41,32
41,32
41,32
41,32
41,33
41,33
41,33
41,33
41,33
41,33
41,33
41,33
41,34
41,34
42,34
42,34
42,34
42,35
42,35
42,36
42,36
42,36
42,36
43,36
43,36
43,37
43,38
44,38
44,38
44,38
44,38
45,38
45,39
45,39
45,39
45,39
45,39
45,40
45,40
45,40
45,40
45,40
46,40
46,40
46,40
46,40
46,40
47,40
47,40
47,40
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
47,41
48,41
48,41
48,41
48,41
48,42
49,42
49,42
49,42
49,42
49,42
50,42
50,42
50,43
50,43
50,43
50,43
50,43
50,44
51,44
51,45
51,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
52,45
53,45
53,45
53,46
53,46
53,46
53,46
54,46
54,46
54,46
55,46
55,46
55,46
55,46
55,46
55,46
55,46
55,46
55,46
55,47
56,47
56,47
56,47
56,47
56,47
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,48
56,49
57,49
57,49
57,49
57,49
57,49
58,49
58,49
58,49
58,49
58,49
58,50
59,50
60,50
60,51
60,51
60,51
60,51
60,52
60,52
60,52
60,52
60,52
60,52
61,52
61,52
61,52
62,52
62,52
63,52
63,52
63,52
63,52
63,53
63,53
63,53
63,53
63,53
63,53
63,53
63,54
63,54
63,54
63,54
63,54
63,54
63,54
63,54
63,54
63,54
63,54
63,54
64,54
64,55
65,55
65,55
66,55
66,56
66,56
67,56
67,56
68,56
68,56
68,56
68,56
69,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
70,56
71,56
71,57
71,57
71,57
71,57
71,57
71,57
71,57
71,58
71,58
71,58
71,58
71,58
72,58
72,58
73,58
73,58
73,58
73,58
73,58
73,58
73,58
73,58
73,58
74,58
74,58
74,58
74,59
74,59
74,60
74,60
75,60
75,60
75,60
75,60
76,60
76,60
76,60
77,60
77,60
77,60
77,60
77,60
78,60
78,60
78,60
79,60
80,60
81,60
81,60
81,60
82,60
83,60
84,60
85,60
85,60
85,60
85,60
86,60
86,60
86,60
86,60
86,60
86,60
87,60
87,61
87,61
87,62
87,62
87,62
87,62
87,62
87,62
87,63
88,63
88,63
89,63
89,63
89,63
89,63
89,63
89,63
89,63
89,64
89,64
89,64
89,64
89,64
89,64
89,64
89,64
89,65
89,65
90,65
90,65
90,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,65
91,66
91,66
92,66
92,66
92,66
92,66
93,66
93,66
93,67
93,67
93,67
93,67
93,67
94,67
94,68
94,69
94,70
94,71
94,71
94,71
94,71
94,72
94,72
94,72
94,72
94,72
94,72
94,72
94,72
94,73
94,73
94,73
94,73
94,73
94,73
94,73
94,73
94,74
94,74
94,74
95,74
95,74
95,74
95,74
96,74
96,74
96,74
96,74
97,74
97,74
97,75
97,75
97,75
97,76
98,76
98,76
98,76
98,76
99,76
99,76
99,76
99,76
100,76
100,76
100,77
100,77
101,77
101,77
101,77
101,77
102,77
103,77
103,78
103,79
103,79
103,79
103,79
103,79
103,79
103,79
104,79
104,79
105,79
105,80
106,80
106,80
106,80
107,80
107,80
107,80
107,80
107,80
107,81
107,81
107,81
107,81
107,81
107,81
107,81
107,81
107,81
107,81
107,82
107,82
107,82
107,83
107,83
107,83
107,83
107,84
107,85
107,85
107,85
107,85
108,85
109,85
109,85
109,85
110,85
110,85
110,85
110,85
110,85
111,85
111,85
111,85
111,85
111,85
111,85
111,85
111,85
111,85
111,85
111,85
112,85
112,85
112,85
112,86
112,86
112,87
112,87
112,87
112,87
112,88
112,88
112,88
112,88
112,88
112,88
112,89
112,89
112,89
112,89
112,90
112,90
112,90
112,91
112,91
112,92
112,93
112,93
112,93
112,94
112,94
112,94
113,94
113,94
114,94
114,94
114,94
114,94
114,95
114,95
114,95
114,95
114,95
114,96
114,96
114,96
114,96
114,96
115,96
115,96
115,96
115,96
115,96
116,96
117,96
117,96
117,96
117,97
117,97
117,97
117,97
117,97
117,97
117,97
117,97
117,97
117,97
117,97
117,97
117,97
118,97
118,97
118,97
118,97
119,97
120,97
120,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,97
121,98
121,98
121,99
121,100
122,100
123,100
123,100
123,100
123,100
124,100
124,101
124,101
124,101
124,101
124,101
124,101
124,101
125,101
125,102
125,102
125,102
125,102
125,102
125,103
125,103
125,103
126,103
127,103
127,103
127,103
128,103
128,104
128,105
128,105
128,105
128,105
128,105
128,105
128,105
129,105
129,105
129,105
129,105
130,105
130,106
130,107
130,107
131,107
131,107
131,107
131,107
131,107
131,107
132,107
132,107
132,107
132,107
132,107
132,107
132,107
132,107
132,107
133,107
133,107
134,107
134,107
134,107
134,107
134,107
134,107
134,107
134,107
134,108
134,108
134,108
134,108
134,108
134,109
134,109
134,109
134,109
134,109
135,109
136,109
136,109
137,109
138,109
138,109
138,109
138,109
138,109
138,109
138,109
138,109
138,109
138,109
138,109
138,109
139,109
139,109
139,110
140,110
141,110
141,111
141,112
141,112
141,112
141,112
141,112
142,112
142,112
142,112
142,113
142,113
142,114
142,114
142,114
143,114
144,114
144,114
145,114
145,114
145,114
145,114
145,114
145,114
145,114
146,114
146,114
146,114
146,114
147,114
147,114
148,114
148,114
148,114
